Position,Track Name,Artist,Streams,URL
1,Nice For What,Drake,5773576,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,God's Plan,Drake,5195522,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
3,Call Out My Name,The Weeknd,3847971,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
4,Psycho (feat. Ty Dolla $ign),Post Malone,3814232,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
5,FRIENDS,Marshmello,3497749,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
6,X,Nicky Jam,3348554,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
7,Freaky Friday (feat. Chris Brown),Lil Dicky,3052779,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
8,SAD!,XXXTENTACION,2949049,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
9,IDGAF,Dua Lipa,2910263,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
10,The Middle,Zedd,2865464,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
11,One Kiss (with Dua Lipa),Calvin Harris,2854697,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
12,Look Alive (feat. Drake),BlocBoy JB,2796905,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
13,Love Lies (with Normani),Khalid,2760284,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
14,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2543728,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
15,Mine,Bazzi,2411485,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
16,All The Stars (with SZA),Kendrick Lamar,2372130,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
17,In My Blood,Shawn Mendes,2189156,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
18,Plug Walk,Rich The Kid,2121785,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
19,rockstar,Post Malone,2080171,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
20,Dura,Daddy Yankee,1951513,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
21,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,1930682,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
22,I Like It,Cardi B,1923905,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
23,Havana,Camila Cabello,1886493,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
24,Me Niego,Reik,1792161,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
